method_id,method_name,method_description,method_key_original,source_group,extraction_source
M_7370a3595e96,4D Concatenation,Fusion of MFCC and PNCC features at i-vector level combined with ELM classifier,M1–M7,18,structured spreadsheet
M_be8ee8d46209,BayesCrowd (Bayesian Network + Crowdsourcing + Adaptive DPLL),Probabilistic inference combined with crowdsourced task selection for incomplete skyline evaluation,MC1,18,structured spreadsheet
M_9a085f809fa7,Bernoulli Sampling Skyline,Approximate skyline query processing via uniform and Bernoulli sampling,L1–L2,18,structured spreadsheet
M_2b4810132c1c,Concatenation,Fusion of MFCC and PNCC features at i-vector level combined with ELM classifier,M1–M7,18,structured spreadsheet
M_3f6b38cb60d1,Cumulative,Fusion of MFCC and PNCC features at i-vector level combined with ELM classifier,M1–M7,18,structured spreadsheet
M_4a653ff8d237,Interleaving,Fusion of MFCC and PNCC features at i-vector level combined with ELM classifier,M1–M7,18,structured spreadsheet
M_eb4c69c5164f,Max,Fusion of MFCC and PNCC features at i-vector level combined with ELM classifier,M1–M7,18,structured spreadsheet
M_a4e6cf2e60a1,Mean,Fusion of MFCC and PNCC features at i-vector level combined with ELM classifier,M1–M7,18,structured spreadsheet
M_c3642529f3f7,Rolling Guidance Filter + VGG Perceptual Fusion,"Decomposition into base/detail layers, VGG feature extraction, multi-strategy fusion",F1,18,structured spreadsheet
M_105299a00f21,Temporal Correlation-aware Differential Privacy,Adaptive privacy budget allocation using w-event privacy under temporal correlation,H1,18,structured spreadsheet
M_c63c40d7f49f,Uniform Sampling Skyline,Approximate skyline query processing via uniform and Bernoulli sampling,L1–L2,18,structured spreadsheet
M_61b45f77280e,Weighted Sum,Fusion of MFCC and PNCC features at i-vector level combined with ELM classifier,M1–M7,18,structured spreadsheet
M_a24d8fce90fb,Cost-aware fairness-aware source-distribution tailoring,"Selects and combines records from multiple data sources to meet desired demographic distributions with minimum acquisition cost, using exact, approximation, and exploration-exploitation strategies.",,21,inferred from bibliography abstract
M_afbd3f1515c8,Entropy-weighted multi-source medical-demand forecasting,"Fuses multiple post-earthquake information streams with entropy-based weighting, then estimates injuries, classifies disease types, and forecasts medical-supply demand over time.",,21,inferred from bibliography abstract
M_63903d40cf29,Exploratory scanpath analysis of Russian reading,"Analyzes eye-movement scanpaths across monolingual, bilingual, adult, and child Russian readers to characterize fluent, intermediate, and beginner reading processes.",,21,inferred from bibliography abstract
M_2a9b7ac8647e,FR-Match cluster-to-cluster cell-type matching,Uses supervised feature selection and the Friedman-Rafsky non-parametric test to match cell-type clusters across single-cell RNA-seq datasets and detect common or novel cell phenotypes.,,21,inferred from bibliography abstract
M_ffaf41cf0b8d,Multiscale semantic feature optimization and fusion network,"Combines high-resolution aerial imagery and LiDAR in an FCN-style framework with multiscale context optimization, semantic-guided spatial attention, and a feature-pyramid fusion stage for building extraction.",,21,inferred from bibliography abstract
M_6378fa24c950,Kalman Filter (Noraxon/Xsens),Sensor fusion for merging MIMU data for trunk motion analysis.,M_KALMAN_C22,32,structured spreadsheet
M_96d4bef2c90e,Multisource Deep Learning (DL),DL model integrating distant station data for regional ET estimation.,M_DL_HYDRO_22,32,structured spreadsheet
M_a44e3ff37ab0,Resilient SIU Fusion,Fusion method for navigation resilience using independent sensor updates.,M_NAV_FUS_22,32,structured spreadsheet
M_c6bc5c3e1857,Secure Critical Data Reclamation,Method for recovering critical data from isolated WSN clusters.,M_RECL_WSN_21,32,structured spreadsheet
M_f10015dba7da,Secure Multi-dim Aggregation,Secure aggregation scheme for multi-dimensional data in WSNs.,M_SEC_AGG_21,32,structured spreadsheet
M_4b06671398e0,FARMIT multimodal crop-quality assessment architecture,"A three-layer IoT/ML architecture aggregates traditional greenhouse sensors, RGB image features, QA variables, pest/defect/task records, and temporal context; preprocessing and machine-learning models are then used for continuous crop-quality assessment.",320d32e9-4f5b-55f8-9220-925d5e2f6ef1,33,structured spreadsheet
M_5fe2048b1ac3,HRBF-Fusion,"Uses on-the-fly Hermite Radial Basis Function implicits as a continuous surface representation inside an RGB-D fusion pipeline, deriving curvature and confidence for improved camera tracking and reconstruction.",3aac7a07-240f-528d-a760-e9df0d9a665a,33,structured spreadsheet
M_c0a4e7fcf815,MAMDA secure multidimensional electricity aggregation,"Smart meters structure appliance-type and electricity-angle readings with a super-incremental sequence matrix, encrypt them with Paillier, and fog nodes homomorphically aggregate ciphertexts so the control center can recover multi-angle totals.",607fb3b1-3e57-5be9-9951-49d6192c409f,33,structured spreadsheet
M_1261ba2dd7d6,MCFO-optimized multimodal medical image fusion framework,"Four transform-domain variants (optimized DWT, DT-CWT, NSCT, and NSST) decompose registered image pairs, optimize coefficient gains with Modified Central Force Optimization (MCFO), and then apply adaptive histogram equalization/histogram matching to synthesize a fused image.",a5c730a3-a161-5a0d-994d-4803cc1588fc,33,structured spreadsheet
M_418f7902b01e,Multi-omics integration workflow for BMD,"Single-omics association screening is followed by supervised integrative feature selection, cross-omics analyses (including coinertia/sCCA-style integration), and an inter-omics partial-correlation network linking microbes, metabolites, and bone mineral density.",10a37f14-b329-5cbe-aead-63f8f2e1de86,33,structured spreadsheet
