paper_id,datasetmention_id
10.1002/rrq.414,DM_987af4d9322e
10.1007/s00034-021-01697-7,DM_09d83bd05b77
10.1007/s00034-021-01697-7,DM_39cdd4789cd3
10.1007/s00034-021-01697-7,DM_52e401f1436e
10.1007/s00034-021-01697-7,DM_5315c018aa59
10.1007/s00034-021-01697-7,DM_5a95f52b7b04
10.1007/s00034-021-01697-7,DM_6e4a8265da5f
10.1007/s00034-021-01697-7,DM_72d3e30a11c8
10.1007/s00034-021-01697-7,DM_755153c7980a
10.1007/s00034-021-01697-7,DM_7f70e1702c91
10.1007/s00034-021-01697-7,DM_81d71384d80c
10.1007/s00034-021-01697-7,DM_a9aedfb35d92
10.1007/s00034-021-01697-7,DM_ae4cff028cec
10.1007/s00034-021-01697-7,DM_b19057799c2d
10.1007/s00034-021-01697-7,DM_bc34ee337f53
10.1007/s00034-021-01697-7,DM_bfd0ec762001
10.1007/s00034-021-01697-7,DM_c9f4715ae228
10.1007/s00034-021-01697-7,DM_cb94b66510e4
10.1007/s00034-021-01697-7,DM_ddee4782c43f
10.1007/s00034-021-01697-7,DM_dfe7170789c7
10.1007/s00034-021-01697-7,DM_ece907d22f0a
10.1007/s00034-021-01697-7,DM_f19855810033
10.1007/s10586-021-03489-9,DM_69b1a4a7e2b7
10.1007/s10586-021-03489-9,DM_7154dcc62bb7
10.1007/s10586-021-03489-9,DM_cfaf1c4788cc
10.1007/s10586-021-03489-9,DM_fc2d20204ff9
10.1007/s11042-022-12260-0,DM_0b65dd524cd1
10.1007/s11042-022-12260-0,DM_f05830d343bb
10.1007/s12083-021-01078-6,DM_60158d21d371
10.1016/j.gaitpost.2021.11.012,DM_a6fcca071f52
10.1016/j.ijleo.2021.166726,DM_f5833f39715a
10.1016/j.jhydrol.2022.127506,DM_a6c339d31cbe
10.1016/j.jii.2021.100235,DM_87305f3db234
10.1016/j.jii.2021.100235,DM_f4001dc21668
10.1093/bib/bbaa339,DM_17d049639094
10.1093/bib/bbaa339,DM_1ebda0e1445a
10.1109/JIOT.2021.3077866,DM_441feb4018ed
10.1109/JIOT.2021.3098635,DM_f0abb042e971
10.1109/TGCN.2021.3122793,DM_b82b2b5be9c6
10.1109/TITS.2022.3150273,DM_1f87eb8d173c
10.1109/TKDE.2019.2946798,DM_2911eeedb9b6
10.1145/3516521,DM_13a9edc3fccc
10.1145/3516521,DM_21c34837f781
10.1145/3516521,DM_37a1e4dc0519
10.14778/3476249.3476299,DM_d8dcd872d73a
10.26599/TST.2019.9010060,DM_3a90ffee0a52
10.26599/TST.2019.9010060,DM_4db937068b3a
10.3389/fcimb.2022.853499,DM_75cb37ad4565
10.3389/fcimb.2022.853499,DM_915ae66a5c22
10.3389/fcimb.2022.853499,DM_9dd958aa4eaf
10.3390/rs13132473,DM_5f0df66abaf7
10.3390/rs13132473,DM_9700099fb5c4
