paper_id,method_id
10.1002/rrq.414,M_63903d40cf29
10.1007/s00034-021-01697-7,M_2b4810132c1c
10.1007/s00034-021-01697-7,M_3f6b38cb60d1
10.1007/s00034-021-01697-7,M_4a653ff8d237
10.1007/s00034-021-01697-7,M_61b45f77280e
10.1007/s00034-021-01697-7,M_7370a3595e96
10.1007/s00034-021-01697-7,M_a4e6cf2e60a1
10.1007/s00034-021-01697-7,M_eb4c69c5164f
10.1007/s10586-021-03489-9,M_4b06671398e0
10.1007/s11042-022-12260-0,M_1261ba2dd7d6
10.1007/s12083-021-01078-6,M_105299a00f21
10.1016/j.gaitpost.2021.11.012,M_6378fa24c950
10.1016/j.ijleo.2021.166726,M_c3642529f3f7
10.1016/j.jhydrol.2022.127506,M_96d4bef2c90e
10.1016/j.jii.2021.100235,M_afbd3f1515c8
10.1093/bib/bbaa339,M_2a9b7ac8647e
10.1109/JIOT.2021.3077866,M_f10015dba7da
10.1109/JIOT.2021.3098635,M_c6bc5c3e1857
10.1109/TGCN.2021.3122793,M_c0a4e7fcf815
10.1109/TITS.2022.3150273,M_a44e3ff37ab0
10.1109/TKDE.2019.2946798,M_be8ee8d46209
10.1145/3516521,M_5fe2048b1ac3
10.14778/3476249.3476299,M_a24d8fce90fb
10.26599/TST.2019.9010060,M_9a085f809fa7
10.26599/TST.2019.9010060,M_c63c40d7f49f
10.3389/fcimb.2022.853499,M_418f7902b01e
10.3390/rs13132473,M_ffaf41cf0b8d
